person_id,name,stratum,date,queries,corpora_searched,result,hits
adams_william_h,William Hanford Adams,established_profile,2026-09-05,"exact 'Given Surname' and 'Surname, Given' within 30 characters; 'G. Surname' and 'Surname, G.' initial forms; surname alone for the file census; run over every committed .json/.txt/.md/.csv under data/research/ and data/sources/, and over the fetched Andreas vol. 1 OCR","data/research/** and data/sources/** (794 files, 42.8 MB) + Andreas History of Chicago vol. 1 OCR (5.2 MB, fetched)",corroborated,chicago_voter_lists_1833_1835_irad;andreas_1884_v1;chicago_democrat_1833_1835
aiker_samuel,Samuel Aiker,letter_list_only_present,2026-09-05,"exact 'Given Surname' and 'Surname, Given' within 30 characters; 'G. Surname' and 'Surname, G.' initial forms; surname alone for the file census; run over every committed .json/.txt/.md/.csv under data/research/ and data/sources/, and over the fetched Andreas vol. 1 OCR","data/research/** and data/sources/** (794 files, 42.8 MB) + Andreas History of Chicago vol. 1 OCR (5.2 MB, fetched)",no_corroboration_yet,chicago_democrat_1833_1835
parcel_aaron,Aaron Parcel,letter_list_only_uncertain,2026-09-05,"exact 'Given Surname' and 'Surname, Given' within 30 characters; 'G. Surname' and 'Surname, G.' initial forms; surname alone for the file census; run over every committed .json/.txt/.md/.csv under data/research/ and data/sources/, and over the fetched Andreas vol. 1 OCR","data/research/** and data/sources/** (794 files, 42.8 MB) + Andreas History of Chicago vol. 1 OCR (5.2 MB, fetched)",no_corroboration_yet,chicago_democrat_1833_1835
bates_john_jr,John Bates Jr.,established_profile,2026-09-05,"exact 'Given Surname' and 'Surname, Given' within 30 characters; 'G. Surname' and 'Surname, G.' initial forms; surname alone for the file census; run over every committed .json/.txt/.md/.csv under data/research/ and data/sources/, and over the fetched Andreas vol. 1 OCR","data/research/** and data/sources/** (794 files, 42.8 MB) + Andreas History of Chicago vol. 1 OCR (5.2 MB, fetched)",corroborated_enrichment,chicago_voter_lists_1833_1835_irad;andreas_1884_v1;chicago_democrat_1833_1835
akers_simon,Simon Akers,letter_list_only_present,2026-09-05,"exact 'Given Surname' and 'Surname, Given' within 30 characters; 'G. Surname' and 'Surname, G.' initial forms; surname alone for the file census; run over every committed .json/.txt/.md/.csv under data/research/ and data/sources/, and over the fetched Andreas vol. 1 OCR","data/research/** and data/sources/** (794 files, 42.8 MB) + Andreas History of Chicago vol. 1 OCR (5.2 MB, fetched)",candidate_identity,fergus_chicago_directory_1839;andreas_1884_v1;chicago_democrat_1833_1835
reel_absolam,Absolam Reel,letter_list_only_uncertain,2026-09-05,"exact 'Given Surname' and 'Surname, Given' within 30 characters; 'G. Surname' and 'Surname, G.' initial forms; surname alone for the file census; run over every committed .json/.txt/.md/.csv under data/research/ and data/sources/, and over the fetched Andreas vol. 1 OCR","data/research/** and data/sources/** (794 files, 42.8 MB) + Andreas History of Chicago vol. 1 OCR (5.2 MB, fetched)",no_corroboration_yet,chicago_democrat_1833_1835
beaubien_jean_baptiste,Col. Jean Baptiste Beaubien,established_profile,2026-09-05,"exact 'Given Surname' and 'Surname, Given' within 30 characters; 'G. Surname' and 'Surname, G.' initial forms; surname alone for the file census; run over every committed .json/.txt/.md/.csv under data/research/ and data/sources/, and over the fetched Andreas vol. 1 OCR","data/research/** and data/sources/** (794 files, 42.8 MB) + Andreas History of Chicago vol. 1 OCR (5.2 MB, fetched)",corroborated,census_1830_peoria_county_chicago_precinct;st_marys_baptismal_register_1833_1835;chicago_voter_lists_1833_1835_irad;andreas_1884_v1;chicago_democrat_1833_1835
allen_william,William Allen,letter_list_only_present,2026-09-05,"exact 'Given Surname' and 'Surname, Given' within 30 characters; 'G. Surname' and 'Surname, G.' initial forms; surname alone for the file census; run over every committed .json/.txt/.md/.csv under data/research/ and data/sources/, and over the fetched Andreas vol. 1 OCR","data/research/** and data/sources/** (794 files, 42.8 MB) + Andreas History of Chicago vol. 1 OCR (5.2 MB, fetched)",corroborated_enrichment,census_1840_chicago_name_crosswalk;andreas_1884_v1;chicago_democrat_1833_1835
vandorwerk_adam,Adam Vandorwerk,letter_list_only_uncertain,2026-09-05,"exact 'Given Surname' and 'Surname, Given' within 30 characters; 'G. Surname' and 'Surname, G.' initial forms; surname alone for the file census; run over every committed .json/.txt/.md/.csv under data/research/ and data/sources/, and over the fetched Andreas vol. 1 OCR","data/research/** and data/sources/** (794 files, 42.8 MB) + Andreas History of Chicago vol. 1 OCR (5.2 MB, fetched)",no_corroboration_yet,chicago_democrat_1833_1835
beaubien_josette,Josette LaFramboise Beaubien,established_profile,2026-09-05,"exact 'Given Surname' and 'Surname, Given' within 30 characters; 'G. Surname' and 'Surname, G.' initial forms; surname alone for the file census; run over every committed .json/.txt/.md/.csv under data/research/ and data/sources/, and over the fetched Andreas vol. 1 OCR","data/research/** and data/sources/** (794 files, 42.8 MB) + Andreas History of Chicago vol. 1 OCR (5.2 MB, fetched)",corroborated,st_marys_baptismal_register_1833_1835;andreas_1884_v1;chicago_democrat_1833_1835
