media_id,building_id,media_type,title,depicted_year,source_url,local_path,rights_statement,credit_line,notes,created_date,creator,repository,representation_type,accuracy_note
MEDIA-MAP-1830-THOMPSON,,historical_map,Thompson plat of Chicago 1830,1830,https://commons.wikimedia.org/wiki/File:Thompson_plat_of_Chicago_1830.png,maps/images/1830_thompson_plat.png,public_domain,Public-domain scan via Wikimedia Commons,Foundational 58-block town plat; parcel/street reference rather than building inventory.,,,,,
MEDIA-MAP-1833-CONLEY,,historical_map,"Map of Chicago, Incorporated as a Town August 5, 1833",1833,https://commons.wikimedia.org/wiki/File:1833_Chicago_map_by_Conley_%26_Stelzer.jpg,maps/images/1833_conley_stelzer_map.jpg,public_domain,Public-domain scan via Wikimedia Commons; David Rumsey Map Collection,"Created in 1933 to depict 1833. Useful for orientation and named places, not contemporaneous cadastral evidence.",,,,,
MEDIA-MAP-1834-HATHAWAY,,historical_map,"Chicago with school section, Wabansia and Kinzie's Additions",1834,https://commons.wikimedia.org/wiki/File:1834_Map_of_Chicago_by_Hathaway.jpg,maps/images/1834_hathaway_map.jpg,public_domain,Public-domain scan via Wikimedia Commons; Newberry Library VAULT map Graff 1817,Commons page links an external Wikimaps Warper georeference.,,,,,
MEDIA-MAP-1836-MESIER,,historical_map,Map of Chicago with Additions,1836,https://commons.wikimedia.org/wiki/File:1836_Chicago_Map_by_Mesier.jpg,maps/images/1836_mesier_map.jpg,public_domain,Public-domain scan via Wikimedia Commons; Chicago Historical Society,"Recorded July 2, 1836.",,,,,
MEDIA-MAP-1839-HARBOR,,historical_map,Plan of Chicago Harbor,1839,https://commons.wikimedia.org/wiki/File:1839_Plan_of_Chicago_Harbor.jpg,maps/images/1839_chicago_harbor_plan.jpg,public_domain,Public-domain scan via Wikimedia Commons; Lewis University source,"Primary engineering plan; strong evidence for shoreline, river mouth, piers, and harbor works.",,,,,
MEDIA-MAP-1849-REES-RUCKER,,historical_map,Map of Chicago and Vicinity,1849,https://commons.wikimedia.org/wiki/File:1849_Rees_%26_Rucker_Map_of_Chicago_and_Vicinity.jpg,maps/images/1849_rees_rucker_map.jpg,public_domain,Public-domain scan via Wikimedia Commons,"Strong mid-century control for streets, subdivisions, river, shoreline, and expanding settlement; the local copy is a reduced derivative.",,,,,
MEDIA-MAP-1853-HART,,historical_map,"City of Chicago, Cook Co., Illinois",1853,https://commons.wikimedia.org/wiki/File:1853_Chicago_map_by_Henry_Hart.jpg,maps/images/1853_henry_hart_map.jpg,public_domain,Public-domain scan via Wikimedia Commons; Harvard Map Collection,"At 1:5,000, this is the first included source that systematically shows individual building footprints; the local copy is a reduced derivative.",,,,,
MEDIA-MAP-1857-PALMATARY,,historical_map,Chicago,1857,https://www.loc.gov/item/75693204/,maps/images/1857_palmatary_view.jpg,free_to_use_and_reuse,"Library of Congress, Geography and Map Division",Perspective map not drawn to scale; indexed for points of interest.,,,,,
MEDIA-MAP-1868-RUGER,,historical_map,Chicago in 1868 from Schiller Street north side to 12th Street south side,1868,https://www.loc.gov/item/73693350/,maps/images/1868_ruger_view.jpg,free_to_use_and_reuse,"Library of Congress, Geography and Map Division","Perspective map; use for visual context and prominent structures, not parcel geometry.",,,,,
MEDIA-MAP-1870-MITCHELL,,historical_map,Chicago,1870,https://commons.wikimedia.org/wiki/File:1870_Chicago_map_by_Mitchell.jpg,maps/images/1870_mitchell_map.jpg,public_domain,Public-domain scan via Wikimedia Commons; University of Illinois Map and Geography Library,"Small-scale reference map (approximately 1:31,000); suitable for extent and transportation context.",,,,,
MEDIA-MAP-1871-PREFIRE,,historical_map,Chicago before the Great Fire of 1871,1871,https://www.loc.gov/item/86691728/,maps/images/1871_pre_fire_view.jpg,free_to_use_and_reuse,"Library of Congress, Geography and Map Division",Pre-fire perspective reference; title should be reconciled to the catalog record during the next media pass.,,,,,
MEDIA-MAP-1871-BURNT-RELIEF,,historical_map,Relief map of the burnt district of Chicago,1871,https://www.loc.gov/item/2010592712/,maps/images/1871_burnt_district_relief_map.jpg,free_to_use_and_reuse,"Library of Congress, Geography and Map Division","Core fire-footprint source. Spatial fate must be based on an explicit georeferenced polygon or direct documentary evidence, never a blanket citywide termination.",,,,,
MEDIA-MAP-1871-CITY,,historical_map,"Map of Chicago, 1871",1871,https://www.loc.gov/item/2011593046/,maps/images/1871_city_map.jpg,free_to_use_and_reuse,"Library of Congress, Geography and Map Division",General city reference; the local copy is a compact derivative.,,,,,
MEDIA-MAP-1871-BIRDSEYE,,historical_map,Bird's-eye view of Chicago before the Great Fire,1871,https://www.loc.gov/item/74693213/,maps/images/1871_pre_fire_birds_eye.jpg,free_to_use_and_reuse,"Library of Congress, Geography and Map Division",Visual reference for massing and prominent structures; not a measured footprint layer.,,,,,
MEDIA-BLDG-WOLFPOINT-NYPL-1867,,building_image,Wolf's Point in 1833,1833,https://commons.wikimedia.org/wiki/File:Wolf%27s_Point_in_1833_(NYPL_Hades-118496-54620).tif,media/images/buildings/wolf_point_1833_nypl.jpg,public_domain,New York Public Library Digital Collections; scan via Wikimedia Commons,Wolf Tavern appears at left and Miller House at right. Local file is a practical JPEG derivative of the archival TIFF.,1867,Rufus Blanchard (publisher); Charles Shober (lithographer); after George Davis's 1832 drawing,New York Public Library Digital Collections,retrospective_lithograph,Later lithograph based on a drawing made in 1832; not a photograph or measured elevation.
MEDIA-BLDG-WOLFPOINT-ANDREAS-1884,,building_image,Imagined view of Wolf Point in 1830,1830,https://commons.wikimedia.org/wiki/File:Wolf_Point_1830_Andreas.jpg,media/images/buildings/wolf_point_1830_andreas.jpg,public_domain,"A. T. Andreas, History of Chicago (1884); scan via Wikimedia Commons",Contextual view of the early Wolf Point tavern structures.,1884,Alfred Theodore Andreas,Internet Archive / Wikimedia Commons,retrospective_reconstruction,Explicitly cataloged as an imagined 1884 reconstruction of 1830; not eyewitness evidence.
MEDIA-BLDG-WOLFPOINT-NEWBERRY-POSTCARD,,building_image,Chicago in 1833,1833,https://commons.wikimedia.org/wiki/File:Chicago_In_1833_(NBY_417068).jpg,media/images/buildings/chicago_1833_newberry.jpg,public_domain,"Newberry Library, Edward E. Ayer Digital Collection; scan via CARLI and Wikimedia Commons",Retrospective postcard-like view used as Wolf Point visual context.,unknown,Unknown,Newberry Library / CARLI Digital Collections,retrospective_postcard,Creation date and building-level accuracy are not established; do not treat as an 1833 eyewitness image.
MEDIA-BLDG-SAUGANASH-ANDREAS-1884,,building_image,Sauganash Hotel as shown circa 1831–1833,1831-1833,https://commons.wikimedia.org/wiki/File:Sauganash2b.jpg,media/images/buildings/sauganash_hotel_andreas.jpg,public_domain,"A. T. Andreas, History of Chicago (1884); scan via Wikimedia Commons",The adjoining log structure at left housed Chicago’s first drugstore. Chicago History Museum identifier ICHi-000755.,1884,Braunhold (first initial differs between repository records); published by A. T. Andreas,Digital Chicago / Chicago History Museum / Wikimedia Commons,retrospective_lithograph,Published roughly fifty years after the depicted period; artist attribution conflicts between L. and F. Braunhold.
MEDIA-BLDG-GREEN-TREE-1859,,building_image,Green Tree Tavern / West Lake Street House circa 1859,1859,https://commons.wikimedia.org/wiki/File:Green_Tree_Tavern_Chicago_1859.jpg,media/images/buildings/green_tree_tavern_1859.jpg,public_domain,Illinois Digital Archives / Pekin Public Library; scan via Wikimedia Commons,Shows the structure at the northeast corner of Canal and Lake Streets before its 1880 move.,1859,Unattributed,Illinois Digital Archives / Pekin Public Library,historical_photograph,Commons marks the image public domain and dates it about 1859; retain the repository link and recheck item-level terms for external republication.
MEDIA-BLDG-KINZIE-HOUSE-1857,,building_image,Point du Sable / Kinzie house,early 1800s,https://commons.wikimedia.org/wiki/File:Kinzie_House.png,media/images/buildings/kinzie_house_1857.png,public_domain,"Chicago Magazine, March 1857; scan via Wikimedia Commons",The house built by Jean Baptiste Point du Sable near the river mouth as it appeared during Kinzie family occupancy.,1857-03,"Unidentified, likely Chicago Magazine staff",Chicago Magazine / Wikimedia Commons,retrospective_illustration,Published after the depicted period; useful visual evidence but not a measured architectural record.
