building_id,research_record_id,canonical_name,year_started,year_completed,completion_precision,year_demolished,demolition_precision,demolition_cause,status,address_historical,address_modern,latitude,longitude,building_type,original_use,architect_or_builder,owner_or_developer,structural_system,stories,fire_fate_1871,notes,confidence,needs_review
CHI-PRE1830-001,PRE1830-001,Marquette-Jolliet winter shelter,1674,1674,seasonal_approximate,1675,approximate,abandoned_or_dismantled,demolished,Portage-area site along the South Branch of the Chicago River; exact location debated,Approximate South Branch/Chicago Portage area,,,seasonal_shelter,winter_occupation,Jacques Marquette and companions,,wood and bark or other vernacular materials; form not documented,,not_present,"Marquette's journal documents the winter occupation, but neither an exact parcel nor a defensible architectural reconstruction survives. This record identifies the evidenced shelter episode, not a surveyed footprint.",medium,true
CHI-PRE1830-002,PRE1830-002,Jean Baptiste Point du Sable main house,,1779,before_or_by,,,,demolished_date_unknown,North bank of the Chicago River near its mouth,"Pioneer Court vicinity, 401 N Michigan Avenue",41.8898,-87.6248,house,residence_and_trading_post,Jean Baptiste Point du Sable and household,,log; approximately 22 by 40 feet; later enlarged,,not_present,"NPS documents a 22-by-40-foot log house and later compound. The NHL significant year establishes presence by 1779, not an exact construction year. Sold to Le Mai and acquired by John Kinzie in 1804; physical loss date is not established.",high,true
CHI-PRE1830-014,PRE1830-014,William Burnett trading house,,1798,before_or_by,,,,fate_unknown,Chicago River settlement; exact site unresolved,Chicago River near river mouth,,,trading_house,trade_and_residence,,William Burnett,log,1,not_present,Burnett's letter establishes that he had a Chicago house by 1798; Andreas only probably identifies it as the fourth cabin/trading hut remembered in 1803. The 1812 fate is not established.,low,true
CHI-PRE1830-006,PRE1830-006,Du Sable homestead bakehouse,,1800,before_or_by,,,,fate_unknown,"Du Sable compound, north bank near river mouth","Pioneer Court vicinity, 401 N Michigan Avenue",41.8898,-87.6248,bakehouse,food_preparation,Jean Baptiste Point du Sable and household,,wood,,not_present,Explicitly listed in the NPS nomination; individual dates and footprint are not preserved.,medium,true
CHI-PRE1830-003,PRE1830-003,Du Sable homestead barn 1,,1800,before_or_by,,,,fate_unknown,"Du Sable compound, north bank near river mouth","Pioneer Court vicinity, 401 N Michigan Avenue",41.8898,-87.6248,barn,agricultural_storage,Jean Baptiste Point du Sable and household,,wood,,not_present,"One of two barns explicitly listed in the NPS nomination. Individual construction and loss dates are not recorded; 1779 is an approximate compound date, not an exact completion date.",medium,true
CHI-PRE1830-004,PRE1830-004,Du Sable homestead barn 2,,1800,before_or_by,,,,fate_unknown,"Du Sable compound, north bank near river mouth","Pioneer Court vicinity, 401 N Michigan Avenue",41.8898,-87.6248,barn,agricultural_storage,Jean Baptiste Point du Sable and household,,wood,,not_present,Second of two barns explicitly listed in the NPS nomination. Individual construction and loss dates are not recorded.,medium,true
CHI-PRE1830-008,PRE1830-008,Du Sable homestead dairy,,1800,before_or_by,,,,fate_unknown,"Du Sable compound, north bank near river mouth","Pioneer Court vicinity, 401 N Michigan Avenue",41.8898,-87.6248,dairy,dairy_processing,Jean Baptiste Point du Sable and household,,wood,,not_present,Explicitly listed in the NPS nomination; individual dates and footprint are not preserved.,medium,true
CHI-PRE1830-005,PRE1830-005,Du Sable homestead horse mill,,1800,before_or_by,,,,fate_unknown,"Du Sable compound, north bank near river mouth","Pioneer Court vicinity, 401 N Michigan Avenue",41.8898,-87.6248,mill,grain_processing,Jean Baptiste Point du Sable and household,,wood; horse-powered,,not_present,Explicitly listed in the NPS nomination; individual dates and footprint are not preserved.,medium,true
CHI-PRE1830-009,PRE1830-009,Du Sable homestead poultry house,,1800,before_or_by,,,,fate_unknown,"Du Sable compound, north bank near river mouth","Pioneer Court vicinity, 401 N Michigan Avenue",41.8898,-87.6248,poultry_house,animal_husbandry,Jean Baptiste Point du Sable and household,,wood,,not_present,Explicitly listed in the NPS nomination; individual dates and footprint are not preserved.,medium,true
CHI-PRE1830-010,PRE1830-010,Du Sable homestead smokehouse,,1800,before_or_by,,,,fate_unknown,"Du Sable compound, north bank near river mouth","Pioneer Court vicinity, 401 N Michigan Avenue",41.8898,-87.6248,smokehouse,food_preservation,Jean Baptiste Point du Sable and household,,wood,,not_present,Explicitly listed in the NPS nomination; individual dates and footprint are not preserved.,medium,true
