estimate_id,year_start,year_end,estimate_date_precision,geography,metric,value,value_min,value_max,unit,source_key,source_locator,interpretation,confidence,needs_review
STOCK-0001,1800,1800,exact_day,Du Sable homestead compound on the north bank of the Chicago River,compound_building_stock,10,10,10,buildings,NPS_DUSABLE_NHL,"PDF pp. 5-6; May 7, 1800 deed inventory","A parcel-level compound count, not a count for the Chicago settlement. The nomination enumerates only nine functions including the main house, so the tenth building's function remains unidentified.",high,true
STOCK-0002,1803,1803,seasonal_approximate,"Chicago River mouth civilian settlement, excluding the new federal fort",civilian_cabins_or_trading_huts,4,4,4,cabins,ANDREAS_V1_EARLY,"Vol. I, printed p. 72; Whistler-arrival passage","Juliette Kinzie's retrospective account reports four traders' huts: Le Mai, Ouilmette, Pettell, and a possible Burnett house. The count is stronger than the identity of the fourth occupant.",medium,true
STOCK-0003,1812,1812,exact_year,Chicago settlement outside Fort Dearborn,civilian_house_stock,5,5,5,houses,ANDREAS_V1_EARLY,"Vol. I, printed p. 84; 'After the Massacre'","Five civilian houses: Kinzie, Ouilmette, Burns, Lee near the fort, and the Lee-farm house. Excludes Fort Dearborn and its attached agency house and therefore must not be added to later municipal-stock series without a geography crosswalk.",high,false
STOCK-0004,1825,1825,exact_year,Chicago Indian Agency settlement as described by visitor John H. Fonda; boundary not municipal,house_stock_estimate,14,14,14,houses,ANDREAS_V1_EARLY,"Vol. I, printed pp. 100-101; Fonda recollection","Fonda said Chicago contained about fourteen houses. 'About' and the absence of a surveyed boundary make this a rounded visitor estimate, not a parcel census.",medium,true
STOCK-0005,1825,1825,exact_year,Peoria County assessment roll entries associated with Chicago and outlying North/South Branch residents,taxpayer_accounts,14,14,14,taxpayers,ANDREAS_V1_EARLY,"Vol. I, printed pp. 100-101; Bogardus assessment roll","A fiscal denominator, not a building count. Several taxpayers lived miles up the branches and at least one had quarters with another taxpayer; do not use fourteen taxpayers as fourteen independent structures.",high,false
STOCK-0006,1826,1826,winter_recollection,"River-mouth settlement, Hardscrabble, and the Clybourne North Branch cabins; Fort Dearborn excluded",enumerated_civilian_structure_stock,,12,13,structures,ANDREAS_V1_EARLY,"Vol. I, printed pp. 102-103 plus Clybourne-family passage","Derived non-fort range: Beaubien cabin and warehouse (2), double-log agency house (1), blacksmith shop (1), store cabin (1), Hardscrabble cabins (5-6), and two Clybourne cabins (2). Includes commercial/storage structures as well as houses and may omit unremembered structures.",medium,true
STOCK-0007,1833,1833,seasonal_approximate,"Chicago town, principally north and south sides below the forks",new_frame_buildings,150,,150,buildings,ANDREAS_V1_EARLY,"Vol. I, 1833 growth narrative","Andreas says nearly 150 frame buildings were built in spring and summer 1833. This is construction flow, not year-end stock; 150 is retained as the stated approximate ceiling.",medium,true
STOCK-0008,1834,1834,seasonal_lower_bound,"Chicago town, mostly Canal Section 9",new_houses_stores_and_shanties,,151,,structures,ANDREAS_V1_EARLY,"Vol. I, 1834 boom narrative","Andreas says over 150 houses, stores, and shanties were put up in spring and early summer. This is a lower bound on construction flow, not a stock count.",medium,true
STOCK-0009,1837,1837,census_date,City of Chicago corporate limits at the 1837 incorporation-era census,dwelling_stock,398,398,398,dwellings,ANDREAS_V1_EARLY,"Vol. I, city census table immediately after population total 4,170","The source's OCR reads 'dwellingo' but the printed category is dwellings. This residential count excludes or overlaps nonresidential categories in undocumented ways; do not sum mechanically with taverns, churches, or stores.",high,false
STOCK-0010,1837,1837,census_date,City of Chicago corporate limits at the 1837 incorporation-era census,warehouse_stock,4,4,4,warehouses,ANDREAS_V1_EARLY,"Vol. I, city census table immediately after population total 4,170","Contemporaneous category count. Category boundaries and mixed-use treatment are not documented, so this is not safely additive to the dwelling count.",high,false
STOCK-0011,1837,1837,census_date,City of Chicago corporate limits at the 1837 incorporation-era census,tavern_stock,10,10,10,taverns,ANDREAS_V1_EARLY,"Vol. I, city census table immediately after population total 4,170",Contemporaneous category count. Taverns may also have contained dwellings; treat it as a use-category statistic rather than an additional mutually exclusive stock count.,high,false
STOCK-0012,1837,1837,census_date,City of Chicago corporate limits at the 1837 incorporation-era census,church_stock,5,5,5,churches,ANDREAS_V1_EARLY,"Vol. I, city census table immediately after population total 4,170","Contemporaneous category count. The named-structure CSV currently has fewer records because its inclusion standard requires an identifiable building, while this is an aggregate census category.",high,false
STOCK-0013,1840,1840,approximate_year,Chicago area; Encyclopedia entry does not equate this wording to 1840 corporate limits,total_structure_stock,,0,999,structures,EOC_CONSTRUCTION,Opening historical paragraph,"The Encyclopedia says the Chicago area had fewer than 1,000 structures in 1840. This is a rounded regional-area ceiling and is not directly comparable with the 1837 corporate-limit dwelling count.",medium,true
STOCK-0014,1844,1844,exact_year,Chicago; historical boundary/coverage not restated by Hoyt,annual_new_construction,600,600,600,buildings,HOYT1933,p. 50,Hoyt reports 600 new buildings erected in 1844. This is annual construction flow. His footnote chain should be traced before treating it as permit-grade data.,medium,true
STOCK-0015,1845,1845,exact_year,Chicago; historical boundary/coverage not restated by Hoyt,annual_new_construction,871,871,871,buildings,HOYT1933,p. 50,"Hoyt reports 871 new buildings erected in 1845. This is annual construction flow, not stock. A newspaper summary of the 1844 directory appears to associate 871 with its reporting year, so the original directory/newspaper chronology still requires reconciliation.",medium,true
STOCK-0016,1854,1854,approximate_year,Chicago area; Encyclopedia entry does not equate this wording to corporate limits,total_structure_stock,,10001,,structures,EOC_CONSTRUCTION,Opening historical paragraph,"The Encyclopedia says the area's structure count passed 10,000 around 1854. Encoded as a strict lower bound and not an exact annual observation.",medium,true
