sequence,title,printed_date,printed_weekday,volume,number,publication_type,source_pdf_pages,printed_layout,scan_status,word_count,uncertainty_markers,notes,txt_filename,docx_filename
1,Chicago Democrat,1835-01-21,,II,5,Regular issue,1-4,4 pages x 3 columns,Complete,5550,12,"Printed masthead has no weekday in the inspected publication line; photographed pointer/hand and clipped type cause localized loss.",Chicago_Democrat_1835-01-21_Vol2_No5_Transcription.txt,Chicago_Democrat_1835-01-21_Vol2_No5_Transcription.docx
2,Chicago Democrat,1835-03-25,,N/A,Extra,Extra,5-8,"Pages 1-3 x 3 columns; page 4 single-column prospectus",Complete,4868,11,"Page 7 explicitly directs readers to the Subscription List on the last page, confirming page 8 belongs to this Extra.",Chicago_Democrat_1835-03-25_Extra_Transcription.txt,Chicago_Democrat_1835-03-25_Extra_Transcription.docx
3,Chicago Democrat,1835-05-20,Wednesday,II,5,Regular issue,9-12,4 pages x 6 columns,Complete,23118,24,"The source visibly repeats Vol. II No. 5; corrected six-column crops replaced a rejected seven-way split. Every column carries an OCR-assisted uncertainty notice pending further line-level review.",Chicago_Democrat_1835-05-20_Vol2_No5_Transcription.txt,Chicago_Democrat_1835-05-20_Vol2_No5_Transcription.docx
4,Chicago Democrat,1835-05-27,Wednesday,II,6,Regular issue,13-16,4 pages x 6 columns,Complete,23485,36,"Curved outer columns were recropped and the most damaged front-page prose was manually reconciled.",Chicago_Democrat_1835-05-27_Vol2_No6_Transcription.txt,Chicago_Democrat_1835-05-27_Vol2_No6_Transcription.docx
5,Chicago Democrat,1835-06-04,Wednesday,II,7,Regular issue,17-20,4 pages x 6 columns,Complete,21606,16,"Masthead visibly prints Wednesday June 4 1835 although June 4 was Thursday; printed wording is preserved.",Chicago_Democrat_1835-06-04_Vol2_No7_Transcription.txt,Chicago_Democrat_1835-06-04_Vol2_No7_Transcription.docx
6,Chicago Democrat,1835-06-10,Wednesday,II,8,Regular issue,21-24,4 pages x 6 columns,Complete,23515,23,"Outer curvature and small advertisements remain the principal residual risks.",Chicago_Democrat_1835-06-10_Vol2_No8_Transcription.txt,Chicago_Democrat_1835-06-10_Vol2_No8_Transcription.docx
7,Chicago Democrat,1835-06-17,Wednesday,II,9,Regular issue,25-28,4 pages x 6 columns,Complete,20883,11,"A photographed hand physically covers lower portions of source page 25; recoverable upper text is retained and actual losses are marked. Issue page 2 visibly prints Chicago June 10 1835 internally and is preserved.",Chicago_Democrat_1835-06-17_Vol2_No9_Transcription.txt,Chicago_Democrat_1835-06-17_Vol2_No9_Transcription.docx
8,Chicago Democrat,1835-06-24,Wednesday,II,10,Regular issue,29-32,4 pages x 6 columns,Complete,22343,2,"Dense small legal and advertising type remains the principal residual risk.",Chicago_Democrat_1835-06-24_Vol2_No10_Transcription.txt,Chicago_Democrat_1835-06-24_Vol2_No10_Transcription.docx
9,Chicago Democrat,1835-07-01,Wednesday,II,11,Regular issue,33-36,4 pages x 6 columns,Complete,22435,5,"Dense small legal and advertising type remains the principal residual risk.",Chicago_Democrat_1835-07-01_Vol2_No11_Transcription.txt,Chicago_Democrat_1835-07-01_Vol2_No11_Transcription.docx
10,Chicago Democrat,1835-07-08,Wednesday,II,12,Regular issue,37-39,3 supplied pages x 6 columns,Partial,16755,3,"Only three scanned pages are present; expected issue page 4 is absent from the source PDF.",Chicago_Democrat_1835-07-08_Vol2_No12_Partial_Transcription.txt,Chicago_Democrat_1835-07-08_Vol2_No12_Partial_Transcription.docx
