match_group_id,normalized_name,building_ids,research_years,canonical_names,resolution_status,notes
XY-001,briggs house ii,CHI-POSTFIRE-CHI1872-052;CHI-POSTFIRE-CHI1873-011,1872;1873,Briggs House II;Briggs House II,candidate_exact_name_match_needs_phase_review,"Review whether rows are duplicate research observations, distinct construction phases, or reused names before database entity merge."
XY-002,dupont whitehouse house,CHI-POSTFIRE-CHI1875-034;CHI-POSTFIRE-CHI1876-017,1875;1876,DuPont-Whitehouse House;DuPont-Whitehouse House,candidate_exact_name_match_needs_phase_review,"Review whether rows are duplicate research observations, distinct construction phases, or reused names before database entity merge."
XY-003,grace methodist episcopal church,CHI-POSTFIRE-CHI1872-054;CHI-POSTFIRE-CHI1873-021,1872;1873,Grace Methodist Episcopal Church;Grace Methodist Episcopal Church,candidate_exact_name_match_needs_phase_review,"Review whether rows are duplicate research observations, distinct construction phases, or reused names before database entity merge."
XY-004,grand pacific hotel ii,CHI-POSTFIRE-CHI1872-050;CHI-POSTFIRE-CHI1873-008,1872;1873,Grand Pacific Hotel II;Grand Pacific Hotel II,candidate_exact_name_match_needs_phase_review,"Review whether rows are duplicate research observations, distinct construction phases, or reused names before database entity merge."
XY-005,james ward public school original section,CHI-POSTFIRE-CHI-1874-017;CHI-POSTFIRE-CHI1875-010,1874;1875,James Ward Public School original section;James Ward Public School original section,candidate_exact_name_match_needs_phase_review,"Review whether rows are duplicate research observations, distinct construction phases, or reused names before database entity merge."
XY-006,lakeside building,CHI-POSTFIRE-CHI1872-048;CHI-POSTFIRE-CHI1873-002,1872;1873,Lakeside Building;Lakeside Building,candidate_exact_name_match_needs_phase_review,"Review whether rows are duplicate research observations, distinct construction phases, or reused names before database entity merge."
XY-007,lasalle building,CHI-POSTFIRE-CHI1872-034;CHI-POSTFIRE-CHI1873-036,1872;1873,LaSalle Building;LaSalle Building,candidate_exact_name_match_needs_phase_review,"Review whether rows are duplicate research observations, distinct construction phases, or reused names before database entity merge."
XY-008,palmer house ii,CHI-POSTFIRE-CHI1872-049;CHI-POSTFIRE-CHI1873-009,1872;1873,Palmer House II;Palmer House II,candidate_exact_name_match_needs_phase_review,"Review whether rows are duplicate research observations, distinct construction phases, or reused names before database entity merge."
XY-009,sherman house iii,CHI-POSTFIRE-CHI1872-051;CHI-POSTFIRE-CHI1873-007,1872;1873,Sherman House III;Sherman House III,candidate_exact_name_match_needs_phase_review,"Review whether rows are duplicate research observations, distinct construction phases, or reused names before database entity merge."
XY-010,tremont house iv,CHI-POSTFIRE-CHI1872-053;CHI-POSTFIRE-CHI1873-006,1872;1873,Tremont House IV;Tremont House IV,candidate_exact_name_match_needs_phase_review,"Review whether rows are duplicate research observations, distinct construction phases, or reused names before database entity merge."
XY-011,washington block,CHI-POSTFIRE-CHI1873-041;CHI-POSTFIRE-CHI-1874-004,1873;1874,Washington Block;Washington Block,candidate_exact_name_match_needs_phase_review,"Review whether rows are duplicate research observations, distinct construction phases, or reused names before database entity merge."
XY-012,william waller house,CHI-POSTFIRE-CHI1875-015;CHI-POSTFIRE-CHI1876-019,1875;1876,William Waller House;William Waller House,candidate_exact_name_match_needs_phase_review,"Review whether rows are duplicate research observations, distinct construction phases, or reused names before database entity merge."
