map_id,reference_year,map_date,date_precision,title,creator,publisher,map_type,coverage,shows_building_footprints,georeference_status,source_url,local_image_path,width_px,height_px,rights_statement,credit_line,reliability,notes
MAP-1830-THOMPSON,1830,1830,exact,Thompson plat of Chicago 1830,"James Thompson",,"plat","Original town at Chicago River mouth",no,not_georeferenced,https://commons.wikimedia.org/wiki/File:Thompson_plat_of_Chicago_1830.png,maps/images/1830_thompson_plat.png,2728,1944,public_domain,"Public-domain scan via Wikimedia Commons",high,"Foundational 58-block town plat; parcel/street reference rather than building inventory."
MAP-1833-CONLEY,1833,1933,exact,"Map of Chicago, Incorporated as a Town August 5, 1833","Walter H. Conley; O. E. Stelzer; Caroline McIlvaine","Walter Conley and O. E. Stelzer",historical_reconstruction,"Town of Chicago in 1833",pictorial_only,not_georeferenced,https://commons.wikimedia.org/wiki/File:1833_Chicago_map_by_Conley_%26_Stelzer.jpg,maps/images/1833_conley_stelzer_map.jpg,3840,2818,public_domain,"Public-domain scan via Wikimedia Commons; David Rumsey Map Collection",medium,"Created in 1933 to depict 1833. Useful for orientation and named places, not contemporaneous cadastral evidence."
MAP-1834-HATHAWAY,1834,1834,exact,"Chicago with school section, Wabansia and Kinzie's Additions","Joshua Hathaway",,"cadastral map","Early town and additions",no,georeferenced_external,https://commons.wikimedia.org/wiki/File:1834_Map_of_Chicago_by_Hathaway.jpg,maps/images/1834_hathaway_map.jpg,1672,2399,public_domain,"Public-domain scan via Wikimedia Commons; Newberry Library VAULT map Graff 1817",high,"Commons page links an external Wikimaps Warper georeference."
MAP-1836-MESIER,1836,1836,exact,"Map of Chicago with Additions","E. B. Talcott; T. A. Mesier's Lith.","Illinois and Michigan Canal commissioners",cadastral_map,"Town and recorded additions",no,not_georeferenced,https://commons.wikimedia.org/wiki/File:1836_Chicago_Map_by_Mesier.jpg,maps/images/1836_mesier_map.jpg,3840,2318,public_domain,"Public-domain scan via Wikimedia Commons; Chicago Historical Society",high,"Recorded July 2, 1836."
MAP-1839-HARBOR,1839,1839,exact,"Plan of Chicago Harbor","Thomas Jefferson Cram","United States War Department",engineering_plan,"River mouth, harbor works, and adjacent town",limited,not_georeferenced,https://commons.wikimedia.org/wiki/File:1839_Plan_of_Chicago_Harbor.jpg,maps/images/1839_chicago_harbor_plan.jpg,3840,2943,public_domain,"Public-domain scan via Wikimedia Commons; Lewis University source",high,"Primary engineering plan; strong evidence for shoreline, river mouth, piers, and harbor works."
MAP-1849-REES-RUCKER,1849,1849,exact,"Map of Chicago and Vicinity","James H. Rees; R. C. Rucker",,"city_and_vicinity_map","Chicago and surrounding subdivisions",limited,needs_georeferencing,https://commons.wikimedia.org/wiki/File:1849_Rees_%26_Rucker_Map_of_Chicago_and_Vicinity.jpg,maps/images/1849_rees_rucker_map.jpg,3840,5097,public_domain,"Public-domain scan via Wikimedia Commons",high,"Strong mid-century control for streets, subdivisions, river, shoreline, and expanding settlement; the local copy is a reduced derivative."
MAP-1853-HART,1853,1853,exact,"City of Chicago, Cook Co., Illinois","Henry Hart; C. Potter; Sarony & Co.","Henry Hart",cadastral_wall_map,"Chicago city limits in 1853",yes,georeferenced_external,https://commons.wikimedia.org/wiki/File:1853_Chicago_map_by_Henry_Hart.jpg,maps/images/1853_henry_hart_map.jpg,3840,5838,public_domain,"Public-domain scan via Wikimedia Commons; Harvard Map Collection",high,"At 1:5,000, this is the first included source that systematically shows individual building footprints; the local copy is a reduced derivative."
MAP-1857-PALMATARY,1857,1857,exact,Chicago,"J. T. Palmatary; Christian Inger; Herline & Hensel; Braunhold & Sonne","Braunhold & Sonne",birds_eye_view,"Chicago city and near surroundings",pictorial_only,not_georeferenced,https://www.loc.gov/item/75693204/,maps/images/1857_palmatary_view.jpg,6232,3784,free_to_use_and_reuse,"Library of Congress, Geography and Map Division",high,"Perspective map not drawn to scale; indexed for points of interest."
MAP-1868-RUGER,1868,1868,exact,"Chicago in 1868 from Schiller Street north side to 12th Street south side","A. Ruger; Chicago Lithographing Co.","Chicago Lithographing Co.",birds_eye_view,"Schiller Street to 12th Street",pictorial_only,not_georeferenced,https://www.loc.gov/item/73693350/,maps/images/1868_ruger_view.jpg,2800,1740,free_to_use_and_reuse,"Library of Congress, Geography and Map Division",high,"Perspective map; use for visual context and prominent structures, not parcel geometry."
MAP-1870-MITCHELL,1870,1870,exact,Chicago,"S. Augustus Mitchell","S. Augustus Mitchell",city_map,"Chicago and surrounding district",no,not_georeferenced,https://commons.wikimedia.org/wiki/File:1870_Chicago_map_by_Mitchell.jpg,maps/images/1870_mitchell_map.jpg,2405,3000,public_domain,"Public-domain scan via Wikimedia Commons; University of Illinois Map and Geography Library",high,"Small-scale reference map (approximately 1:31,000); suitable for extent and transportation context."
MAP-1871-PREFIRE,1871,1871,exact,"Chicago before the Great Fire of 1871",,"Library of Congress",birds_eye_view,"Built-up Chicago before the fire",pictorial_only,not_georeferenced,https://www.loc.gov/item/86691728/,maps/images/1871_pre_fire_view.jpg,1618,1154,free_to_use_and_reuse,"Library of Congress, Geography and Map Division",high,"Pre-fire perspective reference; title should be reconciled to the catalog record during the next media pass."
MAP-1871-BURNT-RELIEF,1871,1871,exact,"Relief map of the burnt district of Chicago","J. S. Wright",,"fire_footprint_map","Great Chicago Fire burnt district",limited,needs_georeferencing,https://www.loc.gov/item/2010592712/,maps/images/1871_burnt_district_relief_map.jpg,3478,2220,free_to_use_and_reuse,"Library of Congress, Geography and Map Division",high,"Core fire-footprint source. Spatial fate must be based on an explicit georeferenced polygon or direct documentary evidence, never a blanket citywide termination."
MAP-1871-CITY,1871,1871,exact,"Map of Chicago, 1871",,"Library of Congress",city_map,"Chicago city in 1871",limited,not_georeferenced,https://www.loc.gov/item/2011593046/,maps/images/1871_city_map.jpg,938,1382,free_to_use_and_reuse,"Library of Congress, Geography and Map Division",high,"General city reference; the local copy is a compact derivative."
MAP-1871-BIRDSEYE,1871,1871,exact,"Bird's-eye view of Chicago before the Great Fire",,"Library of Congress",birds_eye_view,"Central Chicago before the fire",pictorial_only,not_georeferenced,https://www.loc.gov/item/74693213/,maps/images/1871_pre_fire_birds_eye.jpg,1569,1175,free_to_use_and_reuse,"Library of Congress, Geography and Map Division",high,"Visual reference for massing and prominent structures; not a measured footprint layer."
